id,name,category,serving_weight,serving_desc,emissions_per_serving,emissions_category_letter,emissions_category_description,carbon_label_url,preservation_methods,food_image_url,expiration_day
0e8ee235-2956-4c3e-ab89-a83f0586eabc,quorn pieces,Meat and alternatives,75,,1.70909,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
0c367f21-2c1d-4617-b1b7-354d6e4e35a8,quorn sausages,Meat and alternatives,84,,1.7,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
d93f9d84-edb8-4c37-917e-784e76237956,quorn vegan nuggets,Meat and alternatives,70,,2.55,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
28eb1358-a925-4eed-afcf-57e640871bb0,quorn vegan pieces,Meat and alternatives,70,,1.6,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
8265f8df-7dac-4178-90a0-83feb6ef89d8,rabbit,Meat and alternatives,160,About half the size of your hand,11.01925,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
54f86186-c4e4-4cd9-b730-1700512a032d,steak,Meat and alternatives,225,One 8oz steak,43.33033,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
1d729284-5724-4a70-a369-39edf756cd96,tempeh,Meat and alternatives,80,,1.093,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
fafb0c87-52f2-4590-aa47-aa7ed4c1ee36,tofu,Meat and alternatives,80,,1.85622,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
f9c3a038-963c-4677-bc74-1891e4f065ba,turkey,Meat and alternatives,160,About half the size of your hand,6.4475,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
68c3428c-2941-4da2-b403-314cc00f258e,valess,Meat and alternatives,80,,5.00817,E,Very High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+E.png,,,
